id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
10,2014,1,골목상권,왕십리로26길,한식음식점,1639976929 ,57
73,2014,1,골목상권,무학로6길,당구장,1000000 ,1
104,2014,1,골목상권,무학로6길,의약품,471280917 ,4
125,2014,1,골목상권,무학봉28길,미곡판매,150727283 ,1
136,2014,1,골목상권,왕십리로26길,여관,334255536 ,9
142,2014,1,골목상권,무학봉길,세탁소,17228994 ,6
154,2014,1,골목상권,청계천로10나길,육류판매,39113196974 ,193
164,2014,1,골목상권,무학봉길,슈퍼마켓,41755077 ,2
167,2014,1,골목상권,왕십리로26길,문구,135599941 ,4
173,2014,1,전통시장,마장축산물시장,반찬가게,848989862 ,5
177,2014,1,골목상권,마장로39길,한식음식점,2190799589 ,17
180,2014,1,전통시장,마장축산물시장,의약품,284778917 ,4
185,2014,1,골목상권,마장로39길,노래방,57877849 ,2
188,2014,1,골목상권,마장로27길,한식음식점,638548950 ,15
199,2014,1,골목상권,왕십리로26길,자전거 및 기타운송장비,52919712 ,1
220,2014,1,골목상권,마조로16길,패스트푸드점,36662612 ,1
227,2014,1,골목상권,사근동길,패스트푸드점,102395748 ,4
233,2014,1,골목상권,마조로1길,서적,221514482 ,1
263,2014,1,골목상권,왕십리로26길,양식음식점,73451784 ,6
284,2014,1,골목상권,마조로1길,한식음식점,1002504611 ,12
319,2014,1,전통시장,뚝도시장,노래방,63224913 ,3
326,2014,1,골목상권,금호산길,호프-간이주점,84744128 ,5
329,2014,1,골목상권,사근동길,독서실,63085822 ,1
357,2014,1,골목상권,금호산길,핸드폰,239519098 ,3
390,2014,1,골목상권,무수막길,호프-간이주점,176115767 ,17
421,2014,1,골목상권,무수막길,미용실,49273245 ,8
453,2014,1,전통시장,금남시장,호프-간이주점,66758044 ,4
484,2014,1,전통시장,금남시장,가방,7704359 ,1
490,2014,1,골목상권,장터길,한식음식점,1268032714 ,35
494,2014,1,골목상권,장터길,화장품,578791064 ,13
502,2014,1,골목상권,장터길,분식전문점,98425318 ,8
509,2014,1,골목상권,장터길,시계및귀금속,33439278 ,5
512,2014,1,골목상권,장터길,의약품,549828150 ,8
518,2014,1,골목상권,한림말3길,호프-간이주점,253350622 ,10
521,2014,1,골목상권,장터길,인테리어,14040332 ,3
549,2014,1,골목상권,한림말3길,미용실,138727470 ,8
