id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
115,2014,1,골목상권,풍성로25길,패스트푸드점,4591650,2
406,2014,1,골목상권,오금로46길,네일숍,8932556,1
437,2014,1,골목상권,오금로46길,자동차수리,452040624,8
454,2014,1,전통시장,방이시장,수산물판매,79455213,2
2044,2014,1,골목상권,풍성로25길,예술학원,8293651,1
2341,2014,1,골목상권,풍성로25길,일반의원,69370584,2
2342,2014,1,전통시장,풍납시장,청과상,28023575,5
2348,2014,1,골목상권,풍성로25길,자동차수리,20893622,2
2883,2014,1,전통시장,방이시장,반찬가게,305234006,6
3151,2014,1,골목상권,오금로46길,중식음식점,96802102,3
3161,2014,1,골목상권,오금로46길,의약품,700097147,3
3293,2014,1,골목상권,오금로46길,시계및귀금속,3234944,2
3331,2014,1,골목상권,송이로23길,화장품,142223250,7
3337,2014,1,골목상권,백제고분로39길,네일숍,22044794,1
3345,2014,1,골목상권,오금로46길,청과상,340833562,2
3350,2014,1,전통시장,방이시장,의료기기,141581276,2
3829,2014,1,골목상권,오금로36길,세탁소,58351435,3
3844,2014,1,골목상권,오금로46길,스포츠클럽,7537615,3
4108,2014,1,골목상권,풍성로25길,핸드폰,57353163,3
4124,2014,1,골목상권,풍성로25길,사진관,26509790,2
4384,2014,1,골목상권,양재대로72길,당구장,12688141,2
4894,2014,1,골목상권,백제고분로33길,운동/경기용품,20113232,2
4898,2014,1,골목상권,백제고분로32길,컴퓨터및주변장치판매,6712196,4
4899,2014,1,골목상권,삼전로13길,자전거 및 기타운송장비,2641988,1
4951,2014,1,골목상권,오금로36길,중식음식점,41076065,2
5096,2014,1,골목상권,오금로46길,제과점,422122,2
5103,2014,1,골목상권,백제고분로39길,부동산중개업,58295296,25
5151,2014,1,골목상권,마천로51길,편의점,5087491,0
5284,2014,1,골목상권,동남로20길,한식음식점,2736552401,40
5285,2014,1,골목상권,동남로20길,일반교습학원,833390950,13
5365,2014,1,전통시장,새마을시장,분식전문점,558399243,29
5449,2014,1,골목상권,송이로32길,외국어학원,188246706,6
5492,2014,1,전통시장,새마을시장,네일숍,66045496,3
5628,2014,1,골목상권,송이로32길,일반교습학원,671002109,16
5630,2014,1,골목상권,송이로32길,철물점,33343371,4
5917,2014,1,전통시장,풍납시장,예술학원,52756391,5
5920,2014,1,전통시장,풍납시장,노래방,31413326,2
5921,2014,1,전통시장,풍납시장,편의점,293534024,1
5923,2014,1,전통시장,풍납시장,일반의류,73745517,10
5924,2014,1,전통시장,풍납시장,일반의원,90764118,1
5932,2014,1,전통시장,풍납시장,문구,12656000,2
5936,2014,1,전통시장,풍납시장,치킨전문점,50518706,4
5938,2014,1,전통시장,새마을시장,한식음식점,3148655754,77
6059,2014,1,전통시장,새마을시장,커피-음료,59063808,5
6062,2014,1,전통시장,새마을시장,한의원,212567141,5
6063,2014,1,전통시장,새마을시장,신발,17116507,5
6080,2014,1,골목상권,풍성로25길,일반교습학원,29204899,2
6082,2014,1,골목상권,거마로20길,중식음식점,27198249,2
6083,2014,1,골목상권,거마로20길,핸드폰,986559385,11
6087,2014,1,골목상권,거마로20길,미용실,203863796,16
6088,2014,1,전통시장,마천시장,육류판매,1032106557,17
