id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
3,2014,1,골목상권,곰달래로3길,시계및귀금속,1063183,1
889,2014,1,골목상권,신목로5길,여행사,15726003,2
2680,2014,1,전통시장,경창시장,핸드폰,14472643,1
2713,2014,1,골목상권,신월로20길,인테리어,4829588,4
2745,2014,1,골목상권,은행정로7길,섬유제품,5664304,3
2810,2014,1,골목상권,은행정로7길,양식음식점,27431943,2
3048,2014,1,골목상권,목동중앙남로3가길,반찬가게,69430095,2
3052,2014,1,골목상권,목동중앙서로8가길,핸드폰,358777693,2
3056,2014,1,골목상권,중앙로47길,미곡판매,25692975,1
3270,2014,1,골목상권,신월로15길,자동차수리,55474418,2
3610,2014,1,골목상권,곰달래로10길,인테리어,6606720,4
3667,2014,1,골목상권,곰달래로10길,일식음식점,250821533,3
3680,2014,1,골목상권,목동로9길,스포츠 강습,12122747,2
3683,2014,1,골목상권,목동로9길,서적,663775311,2
3684,2014,1,골목상권,목동로9길,한의원,91791130,1
3691,2014,1,골목상권,목동중앙서로7길,독서실,6338979,1
3692,2014,1,골목상권,목동중앙서로7길,인테리어,12000000,6
3694,2014,1,골목상권,목동중앙서로7길,미곡판매,31657211,3
3695,2014,1,전통시장,경창시장,제과점,25355146,2
3698,2014,1,전통시장,경창시장,세탁소,2813839,1
3699,2014,1,전통시장,경창시장,노래방,4975703,1
3701,2014,1,전통시장,경창시장,예술학원,41390787,4
3702,2014,1,전통시장,경창시장,의약품,226012939,5
3709,2014,1,골목상권,신월로15길,일반교습학원,75721707,6
3710,2014,1,골목상권,신목로5길,주유소,4172856911,3
3712,2014,1,골목상권,신목로5길,골프연습장,14691690,1
3752,2014,1,골목상권,목동로9길,중식음식점,112465517,2
3784,2014,1,골목상권,목동중앙서로7길,한의원,31193074,1
3800,2014,1,골목상권,목동중앙서로7길,핸드폰,13201891,3
3815,2014,1,골목상권,목동중앙서로8가길,자동차수리,9831622,2
3834,2014,1,골목상권,목동중앙서로8가길,일반의류,3824641,6
3849,2014,1,전통시장,경창시장,한식음식점,127449711,4
4516,2014,1,골목상권,남부순환로88길,커피-음료,22227121,2
