id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
12,2014,1,골목상권,선유로55길,안경,10953531,1
19,2014,1,골목상권,도신로62길,한식음식점,326436717,15
34,2014,1,전통시장,영등포전통시장,일반교습학원,152656514,1
75,2014,1,전통시장,영등포전통시장,사진관,305243134,4
82,2014,1,전통시장,영등포전통시장,반찬가게,1550129530,55
90,2014,1,전통시장,영등포전통시장,유아의류,518379940,18
97,2014,1,전통시장,영등포전통시장,시계및귀금속,3514692148,46
106,2014,1,전통시장,영등포전통시장,가전제품,2016261616,9
128,2014,1,전통시장,영등포전통시장,가전제품수리,7150841,2
138,2014,1,골목상권,도신로60길,분식전문점,15783777,5
145,2014,1,골목상권,도신로60길,일반의원,1497619475,5
153,2014,1,골목상권,도신로62길,중식음식점,42875594,2
160,2014,1,골목상권,도신로60길,스포츠 강습,27767270,2
169,2014,1,골목상권,도신로60길,시계및귀금속,54561174,3
176,2014,1,골목상권,디지털로37길,슈퍼마켓,882478627,10
201,2014,1,골목상권,여의대방로43나길,제과점,8948520,1
208,2014,1,골목상권,여의대방로43나길,운동/경기용품,24458525,3
216,2014,1,골목상권,신길로42가길,노래방,8304845,1
223,2014,1,골목상권,가마산로61길,노래방,50789364,4
232,2014,1,골목상권,가마산로61길,자동차수리,20321911,0
265,2014,1,골목상권,가마산로61길,육류판매,62360063,1
272,2014,1,골목상권,가마산로61길,전자상거래업,37705220,0
280,2014,1,골목상권,신길로42길,외국어학원,45235327,0
287,2014,1,골목상권,신길로42길,애완동물,3363967,1
296,2014,1,골목상권,신길로42길,가구,31464720,2
303,2014,1,전통시장,우리시장,노래방,6256729,2
438,2014,1,골목상권,대림로44길,일반교습학원,93925371,2
445,2014,1,골목상권,대림로44길,노래방,153686941,2
455,2014,1,골목상권,여의대방로35길,한의원,30924200,1
462,2014,1,골목상권,여의대방로35길,여관,1204709,1
501,2014,1,전통시장,영진시장A동,한식음식점,10184261,3
508,2014,1,골목상권,여의대방로35길,편의점,249755581,3
535,2014,1,골목상권,신길로17길,분식전문점,8528586,3
558,2014,1,골목상권,경인로80길,한식음식점,570026369,16
560,2014,1,골목상권,대림로7길,일반의류,547082211,10
566,2014,1,골목상권,경인로77길,미용실,3571428,1
583,2014,1,골목상권,대림로8길,제과점,636622570,6
590,2014,1,골목상권,대림로8길,호프-간이주점,365911601,12
598,2014,1,골목상권,대림로8길,노래방,81278477,10
614,2014,1,골목상권,여의대방로39길,반찬가게,3970449,1
636,2014,1,골목상권,신길로17길,편의점,567914386,2
647,2014,1,골목상권,신길로17길,호프-간이주점,25765758,3
650,2014,1,골목상권,신길로39길,한식음식점,9526286,5
653,2014,1,골목상권,가마산로61길,청과상,99816285,2
654,2014,1,골목상권,대림로22길,애완동물,24360908,2
656,2014,1,골목상권,가마산로61길,안경,5767152,1
678,2014,1,골목상권,대림로22길,편의점,693471844,2
685,2014,1,골목상권,디지털로57길,패스트푸드점,141295246,3
693,2014,1,골목상권,디지털로57길,치과의원,497680644,4
700,2014,1,골목상권,디지털로57길,슈퍼마켓,387396934,10
710,2014,1,골목상권,디지털로57길,의약품,2065823606,6
717,2014,1,골목상권,디지털로57길,일반교습학원,86593910,3
725,2014,1,골목상권,디지털로57길,일반의류,38633897,10
732,2014,1,골목상권,디지털로37길,피부관리실,9418207,2
748,2014,1,골목상권,디지털로37길,가전제품,277718063,1
756,2014,1,골목상권,디지털로57길,편의점,152510145,1
763,2014,1,골목상권,디지털로57길,육류판매,25257680,3
775,2014,1,골목상권,디지털로57길,자전거 및 기타운송장비,9623231,1
782,2014,1,전통시장,대림중앙시장,섬유제품,77670953,1
790,2014,1,골목상권,디지털로57길,제과점,14853144,1
800,2014,1,골목상권,대림로22길,치킨전문점,70571834,4
806,2014,1,골목상권,대림로34길,패스트푸드점,174215941,1
808,2014,1,골목상권,대림로22길,일반의류,92727269,9
809,2014,1,골목상권,신길로60길,호프-간이주점,83693106,6
