id,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,점포수
580,2014,1,골목상권,청파로47길,제과점,585170679,12
644,2014,1,골목상권,우사단로4길,슈퍼마켓,297163976,5
1204,2014,1,전통시장,후암시장,슈퍼마켓,185471970,4
1207,2014,1,전통시장,후암시장,일반의류,36572279,3
1211,2014,1,골목상권,후암로28길,외국어학원,56803815,0
1214,2014,1,골목상권,원효로19길,편의점,765757207,2
1221,2014,1,골목상권,원효로19길,분식전문점,46604293,4
1224,2014,1,골목상권,원효로19길,호프-간이주점,32062991,1
1228,2014,1,골목상권,원효로19길,철물점,1273939,1
1281,2014,1,골목상권,우사단로4길,한식음식점,436112952,20
1334,2014,1,골목상권,한강대로43길,분식전문점,65052829,4
1344,2014,1,골목상권,우사단로10길,예술학원,74213870,3
1408,2014,1,골목상권,우사단로4길,분식전문점,7226807,4
1419,2014,1,골목상권,한강대로88길,호프-간이주점,304290109,8
1471,2014,1,골목상권,우사단로4길,일반의원,112689980,3
1536,2014,1,골목상권,우사단로4길,편의점,179913446,2
1813,2014,1,골목상권,후암로28길,중식음식점,25523435,2
1854,2014,1,골목상권,장문로45길,한식음식점,287407464,14
1858,2014,1,골목상권,한강대로104길,스포츠 강습,32233725,1
1861,2014,1,골목상권,한강대로104길,일반의류,38290100,4
1918,2014,1,골목상권,장문로45길,PC방,67390187,1
1922,2014,1,골목상권,두텁바위로1길,예술학원,17070758,3
1937,2014,1,골목상권,서빙고로71길,분식전문점,37959189,2
1971,2014,1,골목상권,회나무로13길,중식음식점,21882719,1
1975,2014,1,골목상권,회나무로13길,치과의원,101420444,1
1978,2014,1,골목상권,회나무로13길,사진관,23549936,3
1981,2014,1,골목상권,장문로45길,편의점,872980215,4
1985,2014,1,골목상권,회나무로13길,네일숍,13105478,2
2048,2014,1,골목상권,장문로45길,화초,18910488,1
2052,2014,1,골목상권,소월로20길,슈퍼마켓,132043095,2
2055,2014,1,골목상권,소월로20길,일반교습학원,56072948,5
2059,2014,1,전통시장,만리시장,미용실,8212673,1
2062,2014,1,골목상권,청파로73길,자동차수리,650645588,7
2067,2014,1,골목상권,청파로71길,가전제품,35154592,1
2111,2014,1,골목상권,장문로45길,인테리어,52332735,2
2213,2014,1,골목상권,백범로79길,예술학원,85642711,5
2217,2014,1,골목상권,백범로79길,일반의류,783074819,5
2220,2014,1,골목상권,백범로79길,분식전문점,85254719,4
2232,2014,1,골목상권,한남대로20길,제과점,135635153,3
2235,2014,1,골목상권,한남대로20길,슈퍼마켓,209035632,4
2238,2014,1,골목상권,장문로45길,반찬가게,19795430,4
2283,2014,1,골목상권,후암로28길,청과상,2497238,1
2288,2014,1,골목상권,신흥로20길,제과점,82770269,1
2291,2014,1,골목상권,신흥로20길,치킨전문점,10491441,1
2295,2014,1,골목상권,신흥로20길,의약품,774701452,2
2298,2014,1,골목상권,신흥로20길,분식전문점,17059746,4
2302,2014,1,골목상권,장문로45길,독서실,6804559,1
2306,2014,1,전통시장,신흥시장,한식음식점,38263967,7
2313,2014,1,골목상권,한강대로104길,미용실,137730595,4
2316,2014,1,골목상권,한강대로104길,편의점,476689207,6
2340,2014,1,골목상권,두텁바위로1길,커피-음료,6906998,1
2344,2014,1,골목상권,원효로41길,편의점,84283424,3
2355,2014,1,골목상권,원효로41길,중식음식점,29659726,2
2362,2014,1,골목상권,효창원로39길,청과상,3498567,4
2365,2014,1,골목상권,장문로45길,화장품,42599182,5
2376,2014,1,골목상권,효창원로93길,한식음식점,133399534,13
2379,2014,1,골목상권,백범로79길,치과의원,54970708,1
2384,2014,1,골목상권,백범로79길,문구,7750123,7
2391,2014,1,골목상권,효창원로39길,노래방,82993054,2
2394,2014,1,골목상권,효창원로39길,패스트푸드점,32335607,2
2399,2014,1,골목상권,효창원로39길,치과의원,344656611,1
2402,2014,1,골목상권,원효로53길,한의원,182543528,2
2409,2014,1,골목상권,이촌로22길,의약품,171426052,2
2417,2014,1,골목상권,녹사평대로40나길,네일숍,11890030,1
2421,2014,1,골목상권,녹사평대로40나길,화장품,31141893,4
2435,2014,1,골목상권,녹사평대로40나길,편의점,230484518,1
2454,2014,1,전통시장,이태원시장,운동/경기용품,1109955376,4
2457,2014,1,골목상권,녹사평대로26길,일반의류,793370329,24
2473,2014,1,골목상권,우사단로14길,여행사,472536365,4
2478,2014,1,골목상권,녹사평대로26길,편의점,362358475,5
2746,2014,1,골목상권,장문로45길,양식음식점,1250148,1
3001,2014,1,골목상권,청파로71길,패스트푸드점,622362,1
3067,2014,1,골목상권,청파로71길,자동차수리,305348619,3
3322,2014,1,골목상권,청파로71길,한의원,14712726,1
4090,2014,1,골목상권,청파로47나길,분식전문점,8961619,3
4217,2014,1,골목상권,청파로47나길,호프-간이주점,3614969,2
4280,2014,1,골목상권,원효로89길,분식전문점,88866727,8
4345,2014,1,골목상권,원효로89길,철물점,2341630,1
4481,2014,1,골목상권,후암로28길,의약품,20380234,2
4484,2014,1,골목상권,한강대로104길,시계및귀금속,8663129,4
