기간,지역,출생건수(명),사망건수(명)
2014,합계,83711,42153
2014,종로구,905,864
2014,중구,1041,683
2014,용산구,1976,1120
2014,성동구,2654,1265
2014,광진구,3011,1398
2014,동대문구,2634,1831
2014,중랑구,3288,1968
2014,성북구,3537,2117
2014,강북구,2360,1747
2014,도봉구,2553,1632
2014,노원구,4715,2639
2014,은평구,4085,2296
2014,서대문구,2334,1405
2014,마포구,3373,1534
2014,양천구,3527,1864
2014,강서구,5424,2474
2014,구로구,4279,1666
2014,금천구,1820,1139
2014,영등포구,3480,1563
2014,동작구,3765,1564
2014,관악구,4071,2057
2014,서초구,4135,1404
2014,강남구,4654,1848
2014,송파구,6001,2180
2014,강동구,4089,1895
